Category	Date	PdDistrict	X	Y	Location
VEHICLE THEFT	5/20/17	BAYVIEW	-122.3981521	37.73144432	"(37.73144432008011, -122.39815207049281)"
VEHICLE THEFT	5/25/17	BAYVIEW	-122.3944026	37.70890539	"(37.708905394346154, -122.3944025942573)"
VEHICLE THEFT	7/20/17	BAYVIEW	-122.3969544	37.71947846	"(37.719478462373736, -122.39695439625214)"
VEHICLE THEFT	5/28/17	MISSION	-122.4362469	37.76147658	"(37.76147658464509, -122.43624693781413)"
VEHICLE THEFT	5/28/17	INGLESIDE	-122.4290582	37.73952888	"(37.739528877078556, -122.42905820953207)"
VEHICLE THEFT	5/30/17	BAYVIEW	-122.388318	37.75793942	"(37.757939423202046, -122.3883180450489)"
VEHICLE THEFT	7/21/17	INGLESIDE	-122.4107385	37.73895444	"(37.73895443818643, -122.41073854825548)"
VEHICLE THEFT	8/29/17	TARAVAL	-122.4606523	37.72655212	"(37.72655211726307, -122.46065227198974)"
VEHICLE THEFT	8/28/17	PARK	-122.4440118	37.75479255	"(37.754792552219776, -122.44401177230368)"
VEHICLE THEFT	7/27/17	BAYVIEW	-122.390417	37.73559261	"(37.73559261058619, -122.3904169554735)"
VEHICLE THEFT	6/3/17	SOUTHERN	-122.4087106	37.78097067	"(37.78097067220534, -122.40871060666346)"
VEHICLE THEFT	2/19/17	SOUTHERN	-122.4097388	37.7703482	"(37.77034820354541, -122.40973877190581)"
VEHICLE THEFT	5/25/17	CENTRAL	-122.408448	37.8045924	"(37.80459239504686, -122.40844803981466)"
VEHICLE THEFT	6/7/17	BAYVIEW	-122.3888982	37.73466308	"(37.73466307580422, -122.38889824602447)"
VEHICLE THEFT	6/7/17	PARK	-122.438094	37.77214925	"(37.77214924927965, -122.43809400837561)"
VEHICLE THEFT	6/3/17	NORTHERN	-122.4240763	37.79476454	"(37.79476454140376, -122.42407629517217)"
VEHICLE THEFT	12/22/17	SOUTHERN	-122.4085344	37.78203256	"(37.7820325646934, -122.40853438376348)"
VEHICLE THEFT	11/10/17	SOUTHERN	-122.4062266	37.78285379	"(37.78285379356744, -122.40622658735694)"
VEHICLE THEFT	1/13/17	MISSION	-122.4091319	37.752797	"(37.752796998558445, -122.40913193948903)"
VEHICLE THEFT	6/10/17	INGLESIDE	-122.4525279	37.71073058	"(37.71073057633721, -122.45252793544658)"
VEHICLE THEFT	8/7/17	BAYVIEW	-122.3834286	37.73580342	"(37.73580341760196, -122.38342856488991)"
VEHICLE THEFT	8/8/17	TENDERLOIN	-122.4148505	37.78560876	"(37.78560875883027, -122.41485048052394)"
VEHICLE THEFT	6/10/17	INGLESIDE	-122.4472499	37.71060076	"(37.71060075567267, -122.4472498867831)"
VEHICLE THEFT	9/16/17	TARAVAL	-122.4997871	37.7485176	"(37.74851760347233, -122.49978712068952)"
VEHICLE THEFT	9/17/17	INGLESIDE	-122.4433449	37.71392883	"(37.7139288276895, -122.44334488397877)"
VEHICLE THEFT	6/12/17	MISSION	-122.4089802	37.75120075	"(37.75120074856252, -122.40898021631568)"
VEHICLE THEFT	2/27/17	RICHMOND	-122.4995901	37.77842762	"(37.778427618717565, -122.49959009334984)"
